id,title,year_id,db_id,cve_id,score3,metrics,vendor,product,timeline,ics_title,attention,sectors,areas,hq,date_reported,date_published
10,Microsoft Windows JET Database Engine Out-Of-Bounds Read Remote Code Execution Vulnerability,ZDI-19-011,ZDI-CAN-7386,CVE-2019-0575,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-10-17 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",,,,,,10/17/2018,1/9/2019
11,Microsoft Windows JET Database Engine Out-Of-Bounds Read Remote Code Execution Vulnerability,ZDI-19-012,ZDI-CAN-7316,CVE-2019-0577,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-09-29 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",,,,,,9/29/2018,1/9/2019
12,(0Day) Microsoft Windows vcf File Insufficient UI Warning Remote Code Execution Vulnerability,ZDI-19-013,ZDI-CAN-6920,,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-09-06 - Vulnerability reported to vendor, 2019-01-10 - Coordinated public release of advisory, 2019-05-30 - Advisory Updated, ",,,,,,9/6/2018,1/10/2019
13,Microsoft Visual Studio vscontent XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-014,ZDI-CAN-7240,CVE-2019-0537,2.5, (AV:L/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N),Microsoft,Visual Studio,"2018-09-14 - Vulnerability reported to vendor, 2019-01-10 - Coordinated public release of advisory",,,,,,9/14/2018,1/10/2019
14,Microsoft Visual Studio asm Memory Corruption Remote Code Execution Vulnerability,ZDI-19-015,ZDI-CAN-7370,CVE-2019-0546,8.1, (AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H),Microsoft,Visual Studio,"2018-10-15 - Vulnerability reported to vendor, 2019-01-10 - Coordinated public release of advisory",,,,,,10/15/2018,1/10/2019
15,Microsoft Visual Studio wpa Protocol XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-016,ZDI-CAN-7251,,4.3, (AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Microsoft,Visual Studio,"2018-09-20 - Vulnerability reported to vendor, 2019-01-10 - Coordinated public release of advisory",,,,,,9/20/2018,1/10/2019
16,OMRON CX-One CX-Protocol CObject Type Confusion Remote Code Execution Vulnerability,ZDI-19-017,ZDI-CAN-6565,CVE-2018-19027,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Omron,CX-One,"2018-07-02 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-010-02), Low skill level to exploit, Critical Manufacturing, Worldwide, Japan,7/2/2018,1/14/2019
17,OMRON CX-One CX-Protocol CObject Type Confusion Remote Code Execution Vulnerability,ZDI-19-018,ZDI-CAN-6566,CVE-2018-19027,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Omron,CX-One,"2018-07-02 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-010-02), Low skill level to exploit, Critical Manufacturing, Worldwide, Japan,7/2/2018,1/14/2019
18,OMRON CX-One CX-Protocol CObject Type Confusion Remote Code Execution Vulnerability,ZDI-19-019,ZDI-CAN-6585,CVE-2018-19027,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Omron,CX-One,"2018-07-03 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-010-02), Low skill level to exploit, Critical Manufacturing, Worldwide, Japan,7/3/2018,1/14/2019
19,Schneider Electric IIoT Monitor downloadCSV Directory Traversal Information Disclosure Vulnerability,ZDI-19-020,ZDI-CAN-7118,CVE-2018-7835,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
20,Schneider Electric IIoT Monitor ProtectionMgmt upload Directory Traversal Remote Code Execution Vulnerability,ZDI-19-021,ZDI-CAN-7121,CVE-2018-7836,7.2, (AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
21,Schneider Electric IIoT Monitor RecoveryMgmt upload Directory Traversal Remote Code Execution Vulnerability,ZDI-19-022,ZDI-CAN-7122,CVE-2018-7836,7.2, (AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
22,Schneider Electric IIoT Monitor AccountMgmt Login XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-023,ZDI-CAN-7123,CVE-2018-7837,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
23,Schneider Electric IIoT Monitor AccountMgmt forgotPwd XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-024,ZDI-CAN-7124,CVE-2018-7837,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
24,Schneider Electric IIoT Monitor AccountMgmt Logout XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-025,ZDI-CAN-7125,CVE-2018-7837,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
25,Schneider Electric IIoT Monitor EventMgmt addEvent XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-026,ZDI-CAN-7126,CVE-2018-7837,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
26,Schneider Electric IIoT Monitor EventMgmt getEvtPeriod XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-027,ZDI-CAN-7127,CVE-2018-7837,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
27,Schneider Electric IIoT Monitor RuleMgmt addRule XML External Entity Processing Information Disclosure Vulnerability,ZDI-19-028,ZDI-CAN-7133,CVE-2018-7837,7.5, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
28,Schneider Electric IIoT Monitor DeviceMapMgmt upload Directory Traversal Remote Code Execution Vulnerability,ZDI-19-029,ZDI-CAN-7135,CVE-2018-7836,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
29,Schneider Electric IIoT Monitor SettingMgmt upload Directory Traversal Remote Code Execution Vulnerability,ZDI-19-030,ZDI-CAN-7136,CVE-2018-7836,9.8, (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-14 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/14/2019
30,Schneider Electric IIoT Monitor Hard-coded Cryptographic Key Information Disclosure Vulnerability,ZDI-19-031,ZDI-CAN-7119,CVE-2018-7839,6.2, (AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-16 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/16/2019
31,Schneider Electric IIoT Monitor UpgradeMgmt upload Directory Traversal Remote Code Execution Vulnerability,ZDI-19-032,ZDI-CAN-7120,CVE-2018-7836,7.2, (AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H),Schneider Electric,IIot Monitor ,"2018-08-14 - Vulnerability reported to vendor, 2019-01-16 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-02), Exploitable remotely/low skill level to exploit," Commercial Facilities, Critical Manufacturing, Energy, Transportation Services", Worldwide, France,8/14/2018,1/16/2019
32,Oracle Java jnlp Protocol Directory Traversal Arbitrary File Deletion Vulnerability,ZDI-19-033,ZDI-CAN-7151,CVE-2019-2449,5.9, (AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:H),Oracle,Java,"2018-08-17 - Vulnerability reported to vendor, 2019-01-16 - Coordinated public release of advisory",,,,,,8/17/2018,1/16/2019
33,Oracle VirtualBox crServerDispatchGetTexEnviv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-034,ZDI-CAN-7198,CVE-2019-2506,3.8, (AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N),Oracle,VirtualBox,"2018-09-03 - Vulnerability reported to vendor, 2019-01-16 - Coordinated public release of advisory",,,,,,9/3/2018,1/16/2019
34,Oracle VirtualBox crServerDispatchGetMapdv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-035,ZDI-CAN-7199,CVE-2019-2505,3.8, (AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N),Oracle,VirtualBox,"2018-09-03 - Vulnerability reported to vendor, 2019-01-16 - Coordinated public release of advisory",,,,,,9/3/2018,1/16/2019
35,Oracle VirtualBox crServerDispatchGetTexEnvfv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-036,ZDI-CAN-7200,CVE-2019-2504,3.8, (AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N),Oracle,VirtualBox,"2018-09-03 - Vulnerability reported to vendor, 2019-01-16 - Coordinated public release of advisory",,,,,,9/3/2018,1/16/2019
36,Oracle VirtualBox crServerDispatchGetMapdv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-037,ZDI-CAN-7327,CVE-2019-2501,3.8, (AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N),Oracle,VirtualBox,"2018-10-03 - Vulnerability reported to vendor, 2019-01-16 - Coordinated public release of advisory",,,,,,10/3/2018,1/16/2019
37,Oracle VirtualBox crServerMuralVisibleRegion Integer Overflow Privilege Escalation Vulnerability,ZDI-19-038,ZDI-CAN-7328,CVE-2019-2500,8.2, (AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-10-03 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,10/3/2018,1/17/2019
38,Oracle Outside In vsxl5 GelFrame Record Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-039,ZDI-CAN-7592,CVE-2018-3147,3.3, (AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N),Oracle,Outside In,"2018-11-22 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,11/22/2018,1/17/2019
39,Oracle VirtualBox crStateDeleteBuffersARB Untrusted Pointer Dereference Privilege Escalation Vulnerability,ZDI-19-040,ZDI-CAN-6980,CVE-2019-2521,7.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-07-30 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/30/2018,1/17/2019
40,Oracle VirtualBox crStateDeleteFramebuffersEXT Untrusted Pointer Dereference Privilege Escalation Vulnerability,ZDI-19-041,ZDI-CAN-6983,CVE-2019-2522,7.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-07-30 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/30/2018,1/17/2019
41,Oracle VirtualBox crStateDeleteRenderbuffersEXT Untrusted Pointer Dereference Privilege Escalation Vulnerability,ZDI-19-042,ZDI-CAN-6985,CVE-2019-2520,7.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-07-30 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/30/2018,1/17/2019
42,Oracle VirtualBox crStateDeleteQueriesARB Untrusted Pointer Dereference Privilege Escalation Vulnerability,ZDI-19-043,ZDI-CAN-6986,CVE-2019-2523,7.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-07-30 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/30/2018,1/17/2019
43,Oracle VirtualBox crServerDispatchGetActiveAttrib Integer Overflow Privilege Escalation Vulnerability,ZDI-19-044,ZDI-CAN-7209,CVE-2019-2524,8.8, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-09-04 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,9/4/2018,1/17/2019
44,Oracle VirtualBox crUnpackExtendGetAttribLocation Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-045,ZDI-CAN-7330,CVE-2019-2525,5.6, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2018-10-04 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,10/4/2018,1/17/2019
45,Oracle VirtualBox svcGetBuffer  Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-046,ZDI-CAN-6904,CVE-2019-2446,5.5, (AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N),Oracle,VirtualBox,"2018-07-23 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/23/2018,1/17/2019
46,Oracle VirtualBox crUnpackExtendGetAttribLocation Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-047,ZDI-CAN-6963,CVE-2019-2525,5.5, (AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N),Oracle,VirtualBox,"2018-07-27 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/27/2018,1/17/2019
47,Oracle VirtualBox crUnpackExtendGetUniformLocation Out-Of-Bounds Read Information Disclosure Vulnerability,ZDI-19-048,ZDI-CAN-6964,CVE-2019-2448,5.5, (AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N),Oracle,VirtualBox,"2018-07-27 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/27/2018,1/17/2019
48,Oracle VirtualBox crServerDispatchReadPixels Integer Overflow Privilege Escalation Vulnerability,ZDI-19-049,ZDI-CAN-7383,CVE-2019-2548,7.8, (AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H),Oracle,VirtualBox,"2018-10-18 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,10/18/2018,1/17/2019
49,Oracle VirtualBox crServerDispatchGetMapfv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-050,ZDI-CAN-7445,CVE-2019-2450,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2018-11-05 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,11/5/2018,1/17/2019
50,Oracle VirtualBox crServerDispatchGetMapiv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-051,ZDI-CAN-7446,CVE-2019-2555,5.5, (AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N),Oracle,VirtualBox,"2018-11-05 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,11/5/2018,1/17/2019
51,Oracle VirtualBox crServerDispatchGetMapfv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-052,ZDI-CAN-7447,CVE-2019-2554,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2018-11-05 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,11/5/2018,1/17/2019
52,Oracle VirtualBox crServerDispatchGetMapiv Uninitialized Memory Information Disclosure Vulnerability,ZDI-19-053,ZDI-CAN-7448,CVE-2019-2451,6.5, (AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N),Oracle,VirtualBox,"2018-11-05 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,11/5/2018,1/17/2019
53,Microsoft Office Word wwlib Use-After-Free Remote Code Execution Vulnerability,ZDI-19-054,ZDI-CAN-6838,CVE-2019-0585,7.3, (AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H),Microsoft,Office Word,"2018-07-19 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,7/19/2018,1/17/2019
54,Oracle VirtualBox crServerDispatchGetActiveUniform Integer Overflow Privilege Escalation Vulnerability,ZDI-19-055,ZDI-CAN-7210,CVE-2019-2526,7.8, (AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H),Oracle,VirtualBox,"2018-09-05 - Vulnerability reported to vendor, 2019-01-17 - Coordinated public release of advisory",,,,,,9/5/2018,1/17/2019
55,LAquis SCADA LQS File Parsing Untrusted Pointer Dereference Remote Code Execution Vulnerability,ZDI-19-056,ZDI-CAN-6452,CVE-2018-19029,6.8, (AV:N/AC:M/Au:N/C:P/I:P/A:P),LAquis SCADA,Software,"2018-08-14 - Vulnerability reported to vendor, 2019-01-19 - Coordinated public release of advisory, 2019-01-19 - Advisory Updated, ",ICS Advisory (ICSA-19-015-01), Exploitable remotely/low skill level to exploit," Chemical, Commercial Facilities, Energy, Food and Agriculture, Transportation Systems, Water and Wastewater Systems", South America, Brazil,8/14/2018,1/19/2019
56,LAquis SCADA LGX Report Format File Parsing Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-057,ZDI-CAN-6490,CVE-2018-18986,6.8, (AV:N/AC:M/Au:N/C:P/I:P/A:P),LAquis SCADA,Software,"2018-08-14 - Vulnerability reported to vendor, 2019-01-19 - Coordinated public release of advisory, 2019-01-19 - Advisory Updated, ",ICS Advisory (ICSA-19-015-01), Exploitable remotely/low skill level to exploit," Chemical, Commercial Facilities, Energy, Food and Agriculture, Transportation Systems, Water and Wastewater Systems", South America, Brazil,8/14/2018,1/19/2019
57,LAquis SCADA Web Server Directory Traversal Information Disclosure Vulnerability,ZDI-19-058,ZDI-CAN-6667,CVE-2018-18990,5, (AV:N/AC:L/Au:N/C:P/I:N/A:N),LAquis SCADA,Software,"2018-08-14 - Vulnerability reported to vendor, 2019-01-19 - Coordinated public release of advisory, 2019-01-19 - Advisory Updated, ",ICS Advisory (ICSA-19-015-01), Exploitable remotely/low skill level to exploit," Chemical, Commercial Facilities, Energy, Food and Agriculture, Transportation Systems, Water and Wastewater Systems", South America, Brazil,8/14/2018,1/19/2019
58,LAquis SCADA Web Server relatorioindividual TAG Command Injection Remote Code Execution Vulnerability,ZDI-19-059,ZDI-CAN-6668,CVE-2018-18992,7.5, (AV:N/AC:L/Au:N/C:P/I:P/A:P),LAquis SCADA,Software,"2018-08-14 - Vulnerability reported to vendor, 2019-01-19 - Coordinated public release of advisory, 2019-01-19 - Advisory Updated, ",ICS Advisory (ICSA-19-015-01), Exploitable remotely/low skill level to exploit," Chemical, Commercial Facilities, Energy, Food and Agriculture, Transportation Systems, Water and Wastewater Systems", South America, Brazil,8/14/2018,1/19/2019
59,LAquis SCADA LQS File Parsing Out-Of-Bounds Read Remote Code Execution Vulnerability,ZDI-19-060,ZDI-CAN-6670,CVE-2018-18994,6.8, (AV:N/AC:M/Au:N/C:P/I:P/A:P),LAquis SCADA,Software,"2018-08-14 - Vulnerability reported to vendor, 2019-01-19 - Coordinated public release of advisory, 2019-01-19 - Advisory Updated, ",ICS Advisory (ICSA-19-015-01), Exploitable remotely/low skill level to exploit," Chemical, Commercial Facilities, Energy, Food and Agriculture, Transportation Systems, Water and Wastewater Systems", South America, Brazil,8/14/2018,1/19/2019
60,LAquis SCADA Web Server relatorioindividual TITULO Command Injection Remote Code Execution Vulnerability,ZDI-19-061,ZDI-CAN-6671,CVE-2018-18992,7.5, (AV:N/AC:L/Au:N/C:P/I:P/A:P),LAquis SCADA,Software,"2018-08-14 - Vulnerability reported to vendor, 2019-01-19 - Coordinated public release of advisory, 2019-01-19 - Advisory Updated, ",ICS Advisory (ICSA-19-015-01), Exploitable remotely/low skill level to exploit," Chemical, Commercial Facilities, Energy, Food and Agriculture, Transportation Systems, Water and Wastewater Systems", South America, Brazil,8/14/2018,1/19/2019
61,LAquis SCADA Web Server acompanhamentotela PAGINA Command Injection Remote Code Execution Vulnerability,ZDI-19-062,ZDI-CAN-6672,CVE-2018-18992,7.5, (AV:N/AC:L/Au:N/C:P/I:P/A:P),LAquis SCADA,Software,"2018-08-14 - Vulnerability reported to vendor, 2019-01-19 - Coordinated public release of advisory, 2019-01-19 - Advisory Updated, ",ICS Advisory (ICSA-19-015-01), Exploitable remotely/low skill level to exploit," Chemical, Commercial Facilities, Energy, Food and Agriculture, Transportation Systems, Water and Wastewater Systems", South America, Brazil,8/14/2018,1/19/2019
